"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","48.889","48.350","50.530","48.225","0.38K","2.64%"
"30-12-2024","47.633","48.300","48.300","47.235","0.03K","-0.21%"
"27-12-2024","47.731","47.180","47.930","46.800","0.26K","4.37%"
"26-12-2024","45.731","45.731","45.731","45.731","","0.00%"
"24-12-2024","45.731","45.750","46.550","45.300","0.16K","0.41%"
"23-12-2024","45.545","44.335","45.835","43.800","1.15K","3.21%"
"20-12-2024","44.130","43.875","44.465","42.785","1.53K","2.44%"
"19-12-2024","43.078","41.475","43.615","39.835","1.83K","5.05%"
"18-12-2024","41.007","42.355","42.400","40.630","3.55K","-2.52%"
"17-12-2024","42.065","40.500","42.145","39.955","3.03K","4.44%"
"16-12-2024","40.277","40.185","40.585","38.955","11.20K","-2.28%"
"13-12-2024","41.215","42.540","43.245","41.010","22.34K","-3.71%"
"12-12-2024","42.804","44.400","44.450","42.495","17.35K","-4.23%"
"11-12-2024","44.694","45.250","45.960","44.400","17.84K","-1.88%"
"10-12-2024","45.552","44.550","45.845","44.450","7.64K","1.55%"
"09-12-2024","44.855","46.200","46.305","44.740","12.53K","-3.50%"
"06-12-2024","46.480","46.250","46.700","45.950","4.41K","-0.15%"
"05-12-2024","46.551","47.510","47.560","46.005","6.28K","-1.05%"
"04-12-2024","47.046","48.100","48.150","46.710","6.88K","-3.11%"
"03-12-2024","48.557","48.930","49.050","48.250","3.53K","-0.20%"
"02-12-2024","48.655","48.860","49.295","48.350","3.85K","1.77%"
"29-11-2024","47.811","47.480","47.950","46.235","0.59K","2.24%"
"27-11-2024","46.762","46.535","46.800","46.000","0.09K","-0.96%"
"26-11-2024","47.216","47.380","48.290","46.130","0.19K","-1.08%"
"25-11-2024","47.733","47.665","48.880","47.400","0.67K","1.52%"
"22-11-2024","47.018","49.050","49.240","46.775","10.60K","-2.66%"
"21-11-2024","48.303","47.120","48.725","47.120","11.92K","3.22%"
"20-11-2024","46.796","45.360","47.230","45.275","24.27K","2.47%"
"19-11-2024","45.668","46.655","47.315","45.600","15.99K","-2.63%"
"18-11-2024","46.900","45.480","47.125","45.385","9.48K","0.75%"
"15-11-2024","46.551","46.000","47.410","45.450","20.42K","0.71%"
"14-11-2024","46.224","45.505","46.510","44.995","9.38K","5.86%"
"13-11-2024","43.666","43.625","44.105","42.200","8.32K","-1.33%"
"12-11-2024","44.255","43.820","44.435","43.000","7.78K","1.21%"
"11-11-2024","43.728","41.675","44.110","41.675","8.19K","3.11%"
"08-11-2024","42.409","42.325","43.055","41.975","7.86K","2.74%"
"07-11-2024","41.276","40.505","41.575","40.385","4.67K","2.20%"
"06-11-2024","40.388","40.100","40.750","39.040","2.80K","-0.26%"
"05-11-2024","40.492","40.330","41.200","40.305","2.21K","0.47%"
"04-11-2024","40.301","39.495","40.525","39.430","1.50K","2.87%"
"01-11-2024","39.175","39.325","40.380","38.550","1.35K","-3.48%"
"31-10-2024","40.588","41.225","41.490","38.070","0.42K","-0.77%"
"30-10-2024","40.903","41.565","41.565","41.125","0.02K","-4.59%"
"29-10-2024","42.869","43.440","43.605","43.200","0.04K","0.82%"
"28-10-2024","42.519","42.500","42.725","41.880","0.13K","-2.28%"
"25-10-2024","43.513","42.200","43.570","42.200","0.27K","3.22%"
"24-10-2024","42.154","41.850","42.630","41.750","0.32K","1.87%"
"23-10-2024","41.380","40.800","41.750","40.650","0.39K","1.66%"
"22-10-2024","40.704","39.930","41.005","39.790","0.22K","1.70%"
"21-10-2024","40.024","39.810","40.215","39.650","0.20K","2.09%"
"18-10-2024","39.204","39.740","39.740","39.105","0.21K","-1.12%"
"17-10-2024","39.650","39.450","40.030","39.310","0.14K","1.04%"
"16-10-2024","39.241","40.205","40.260","39.155","0.16K","-1.83%"
"15-10-2024","39.973","39.850","40.090","38.975","0.12K","-1.44%"
"14-10-2024","40.559","39.320","40.705","39.235","0.12K","1.71%"
"11-10-2024","39.879","39.865","40.575","39.520","0.22K","-1.03%"
"10-10-2024","40.293","38.405","40.350","38.405","0.27K","5.09%"
"09-10-2024","38.341","38.405","39.160","38.100","0.25K","-1.49%"
"08-10-2024","38.919","40.180","40.180","38.700","0.26K","-3.29%"
"07-10-2024","40.244","40.205","40.945","39.505","0.21K","-1.80%"
"04-10-2024","40.980","39.625","41.170","39.375","0.13K","2.68%"
"03-10-2024","39.912","38.395","39.830","38.145","0.20K","3.35%"
"02-10-2024","38.617","39.900","39.900","38.425","0.23K","-1.67%"
"01-10-2024","39.273","38.395","39.600","37.445","0.21K","0.59%"
"30-09-2024","39.044","39.205","39.270","38.705","0.14K","2.44%"
"27-09-2024","38.114","37.280","38.125","37.280","0.02K","0.59%"
"26-09-2024","37.890","37.030","37.920","36.700","0.10K","1.53%"
"25-09-2024","37.319","36.365","37.505","36.145","0.08K","5.38%"
"24-09-2024","35.413","35.413","35.413","35.413","0.21K","-2.20%"
"23-09-2024","36.211","34.900","36.295","34.570","0.25K","5.13%"
"20-09-2024","34.444","34.485","35.080","33.865","0.21K","4.11%"
"19-09-2024","33.083","35.980","36.695","32.525","0.65K","-6.13%"
"18-09-2024","35.245","35.185","35.745","34.705","0.23K","-0.85%"
"17-09-2024","35.547","34.150","35.750","34.125","0.27K","4.30%"
"16-09-2024","34.081","35.110","35.145","33.965","0.33K","-4.40%"
"13-09-2024","35.648","35.405","36.175","35.145","0.49K","1.30%"
"12-09-2024","35.190","35.830","35.850","34.845","0.44K","-2.63%"
"11-09-2024","36.140","35.450","36.295","34.885","0.42K","2.44%"
"10-09-2024","35.280","37.395","37.845","34.895","0.55K","-5.50%"
"09-09-2024","37.335","36.900","37.475","36.350","0.34K","2.34%"
"06-09-2024","36.480","37.050","37.535","36.350","0.55K","0.79%"
"05-09-2024","36.195","35.705","36.710","35.605","0.85K","1.10%"
"04-09-2024","35.800","36.815","37.000","35.605","0.57K","-3.75%"
"03-09-2024","37.195","39.845","39.845","36.990","0.47K","-6.60%"
"30-08-2024","39.825","38.985","40.235","38.850","0.40K","3.17%"
"29-08-2024","38.601","38.550","38.985","38.145","0.04K","0.21%"
"28-08-2024","38.520","39.300","39.300","38.700","0.01K","-0.44%"
"27-08-2024","38.690","37.475","38.900","37.405","0.19K","2.75%"
"26-08-2024","37.655","36.775","37.855","36.175","0.11K","2.14%"
"23-08-2024","36.865","36.975","37.320","36.150","0.53K","0.77%"
"22-08-2024","36.585","37.225","37.565","36.200","0.54K","-1.15%"
"21-08-2024","37.010","37.910","38.465","36.905","0.57K","-2.49%"
"20-08-2024","37.955","39.295","40.075","37.620","0.78K","-4.74%"
"19-08-2024","39.845","39.265","40.400","39.105","0.74K","0.50%"
"16-08-2024","39.645","39.690","40.060","39.190","0.63K","0.11%"
"15-08-2024","39.600","39.095","39.905","38.840","0.68K","1.63%"
"14-08-2024","38.965","39.570","40.175","38.660","0.85K","-1.30%"
"13-08-2024","39.480","39.395","40.395","38.795","0.85K","-0.45%"
"12-08-2024","39.660","39.625","42.860","39.265","1.29K","-1.82%"
"09-08-2024","40.395","40.035","40.715","39.575","0.84K","0.75%"
"08-08-2024","40.095","38.620","40.300","38.195","1.07K","4.28%"
"07-08-2024","38.450","36.755","38.760","35.935","1.00K","4.84%"
"06-08-2024","36.675","36.250","37.025","36.055","0.43K","3.31%"
"05-08-2024","35.500","36.770","36.770","34.825","0.71K","-3.14%"
"02-08-2024","36.650","36.670","37.090","36.070","0.95K","-0.87%"
"01-08-2024","36.970","36.140","37.020","35.810","0.82K","3.07%"
"31-07-2024","35.870","35.735","35.950","35.105","0.29K","4.39%"
"30-07-2024","34.361","33.740","34.300","33.740","0.01K","1.43%"
"29-07-2024","33.875","33.475","33.930","33.350","0.08K","4.31%"
"26-07-2024","32.475","32.135","32.780","32.135","0.07K","2.19%"
"25-07-2024","31.780","32.380","32.380","31.690","0.75K","-2.58%"
"24-07-2024","32.620","31.525","32.945","31.520","0.66K","3.16%"
"23-07-2024","31.620","31.620","31.830","31.335","1.12K","-0.69%"
"22-07-2024","31.840","31.800","31.950","31.195","0.35K","-1.03%"
"19-07-2024","32.170","32.530","32.530","31.725","0.22K","-1.55%"
"18-07-2024","32.675","31.840","32.755","31.820","0.20K","2.45%"
"17-07-2024","31.895","32.905","33.250","31.600","0.75K","-2.74%"
"16-07-2024","32.795","31.495","33.020","31.495","0.39K","4.54%"
"15-07-2024","31.370","31.860","31.930","31.075","0.80K","-1.10%"
"12-07-2024","31.720","31.270","32.285","30.920","0.90K","1.96%"
"11-07-2024","31.110","30.850","31.405","30.405","0.85K","1.06%"
"10-07-2024","30.785","31.250","31.695","30.635","1.40K","-1.76%"
"09-07-2024","31.335","32.175","32.175","30.950","1.05K","-2.94%"
"08-07-2024","32.285","33.195","33.700","32.050","1.01K","-2.36%"
"05-07-2024","33.065","32.505","33.800","32.415","0.79K","1.15%"
"03-07-2024","32.690","33.250","33.390","32.645","1.24K","-2.95%"
"02-07-2024","33.685","33.525","33.870","33.175","0.67K","0.60%"
"01-07-2024","33.485","34.500","34.945","33.420","0.21K","-2.89%"
"28-06-2024","34.480","34.675","34.745","34.050","0.46K","-0.25%"
"27-06-2024","34.565","34.125","34.250","34.125","0.00K","2.19%"
"26-06-2024","33.825","35.150","35.150","34.850","0.08K","-2.96%"
"25-06-2024","34.855","34.325","34.875","34.325","0.17K","2.27%"
"24-06-2024","34.080","33.800","34.550","33.800","0.21K","0.42%"
"21-06-2024","33.936","34.400","34.555","33.870","0.52K","-1.53%"
"20-06-2024","34.465","34.530","35.690","34.250","0.89K","-0.68%"
"18-06-2024","34.700","34.280","35.050","34.280","0.60K","1.43%"
"17-06-2024","34.210","35.400","35.400","34.200","0.41K","-3.25%"
"14-06-2024","35.360","35.375","36.045","34.850","0.41K","-1.02%"
"13-06-2024","35.725","35.665","36.750","35.560","0.40K","1.22%"
"12-06-2024","35.295","34.055","36.025","33.930","0.43K","2.95%"
"11-06-2024","34.285","33.675","35.335","33.580","0.26K","0.07%"
