"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2024","14.360","14.155","14.380","14.155","","0.49%"
"22-12-2024","14.290","13.985","14.290","13.965","","4.57%"
"15-12-2024","13.665","13.665","13.665","13.665","","-8.15%"
"08-12-2024","14.877","15.060","15.060","14.877","","-1.31%"
"01-12-2024","15.075","15.115","15.125","15.065","","1.01%"
"24-11-2024","14.925","15.015","15.020","14.925","","0.95%"
"17-11-2024","14.785","14.650","15.075","14.400","","8.88%"
"10-11-2024","13.579","13.550","13.579","13.550","","0.21%"
"03-11-2024","13.550","13.475","13.550","13.475","","0.56%"
"27-10-2024","13.475","13.755","13.755","13.475","","-2.32%"
"20-10-2024","13.795","13.340","13.795","13.340","","3.92%"
"13-10-2024","13.275","13.105","13.495","13.105","","1.49%"
"06-10-2024","13.080","13.135","13.135","13.070","","-0.08%"
"29-09-2024","13.090","13.125","13.175","13.090","","-0.87%"
"22-09-2024","13.205","13.205","13.205","13.055","","1.81%"
"15-09-2024","12.970","13.130","13.300","12.830","","-5.15%"
"08-09-2024","13.674","13.780","13.785","13.674","","-0.84%"
"01-09-2024","13.790","13.825","13.825","13.785","","-2.13%"
"25-08-2024","14.090","13.820","14.090","13.820","","1.95%"
"18-08-2024","13.820","14.465","14.465","13.750","","-4.79%"
"11-08-2024","14.515","12.625","14.515","12.625","","15.66%"
"04-08-2024","12.550","12.445","12.565","12.445","","0.24%"
"28-07-2024","12.520","12.445","12.525","12.445","","2.58%"
"21-07-2024","12.205","12.095","12.235","12.010","","0.74%"
"14-07-2024","12.115","12.115","12.115","12.115","","-1.74%"
"07-07-2024","12.330","12.330","12.330","12.330","","-1.24%"
"30-06-2024","12.485","12.485","12.485","12.485","","-1.19%"
"23-06-2024","12.635","12.635","12.635","12.635","","1.36%"
"16-06-2024","12.465","12.465","12.465","12.465","","2.69%"
"09-06-2024","12.138","12.138","12.138","12.138","","1.40%"
"02-06-2024","11.970","11.970","11.970","11.970","","0.55%"
"26-05-2024","11.905","11.905","11.905","11.905","","-0.29%"
"19-05-2024","11.940","11.940","11.940","11.940","","6.99%"
"12-05-2024","11.160","11.160","11.160","11.160","","6.54%"
"05-05-2024","10.475","10.475","10.475","10.475","","0.05%"
"28-04-2024","10.470","10.470","10.470","10.470","","1.40%"
"21-04-2024","10.325","10.325","10.325","10.325","","-1.67%"
"14-04-2024","10.500","10.500","10.500","10.500","","8.86%"
"07-04-2024","9.645","9.645","9.645","9.645","","1.05%"
"31-03-2024","9.545","9.545","9.545","9.545","","0.10%"
"24-03-2024","9.535","9.535","9.535","9.535","","0.95%"
"17-03-2024","9.445","9.445","9.445","9.445","","10.84%"
"10-03-2024","8.521","8.521","8.521","8.521","","0.72%"
"03-03-2024","8.460","8.460","8.460","8.460","","1.93%"
"25-02-2024","8.300","8.300","8.300","8.300","","2.15%"
"18-02-2024","8.125","8.125","8.125","8.125","","-5.19%"
"11-02-2024","8.570","8.570","8.570","8.570","","-9.17%"
"04-02-2024","9.435","9.435","9.435","9.435","","-0.26%"
"28-01-2024","9.460","9.460","9.460","9.460","","1.83%"
"21-01-2024","9.290","9.290","9.290","9.290","","-3.08%"
"14-01-2024","9.585","9.585","9.585","9.585","","-14.42%"
"07-01-2024","11.200","11.200","11.200","11.200","","-3.16%"
"31-12-2023","11.565","11.565","11.565","11.565","","0.39%"
"24-12-2023","11.520","11.520","11.520","11.520","","-3.56%"
"17-12-2023","11.945","11.945","11.945","11.945","","-21.40%"
"10-12-2023","15.197","15.197","15.197","15.197","","-4.87%"
"03-12-2023","15.975","15.975","15.975","15.975","","-1.69%"
"26-11-2023","16.250","16.250","16.250","16.250","","-4.94%"
"19-11-2023","17.095","17.095","17.095","17.095","","0.71%"
"12-11-2023","16.975","16.975","16.975","16.975","","-1.22%"
"05-11-2023","17.185","17.185","17.185","17.185","","-2.19%"
"29-10-2023","17.570","17.570","17.570","17.570","","-1.82%"
"22-10-2023","17.895","17.895","17.895","17.895","","-2.74%"
"15-10-2023","18.400","18.400","18.400","18.400","","27.12%"
"08-10-2023","14.475","14.475","14.475","14.475","","2.84%"
"01-10-2023","14.075","14.075","14.075","14.075","","-3.79%"
"24-09-2023","14.630","14.630","14.630","14.630","","0.24%"
"17-09-2023","14.595","14.595","14.595","14.595","","9.50%"
"10-09-2023","13.329","13.329","13.329","13.329","","-0.01%"
"03-09-2023","13.330","13.330","13.330","13.330","","-0.49%"
"27-08-2023","13.395","13.395","13.395","13.395","","-0.48%"
"20-08-2023","13.460","13.460","13.460","13.460","","-3.51%"
"13-08-2023","13.950","13.950","13.950","13.950","","25.85%"
"06-08-2023","11.085","11.085","11.085","11.085","","1.19%"
"30-07-2023","10.955","10.955","10.955","10.955","","1.62%"
"23-07-2023","10.780","10.780","10.780","10.780","","-0.96%"
"16-07-2023","10.885","10.885","10.885","10.885","","-8.29%"
"09-07-2023","11.869","11.869","11.869","11.869","","-1.79%"
"02-07-2023","12.085","12.085","12.085","12.085","","-1.27%"
"25-06-2023","12.240","12.240","12.240","12.240","","3.42%"
"18-06-2023","11.835","11.835","11.835","11.835","","5.67%"
"11-06-2023","11.200","11.200","11.200","11.200","","21.08%"
"04-06-2023","9.250","9.250","9.250","9.250","","-0.38%"
"28-05-2023","9.285","9.285","9.285","9.285","","0.54%"
"21-05-2023","9.235","9.235","9.235","9.235","","-6.15%"
