Month,Liquefied U.S. Natural Gas Exports  Million Cubic Feet
Feb-25,409232
Jan-25,414945
Dec-24,410786
Nov-24,376065
Oct-24,376200
Sep-24,363030
Aug-24,363574
Jul-24,323873
Jun-24,356423
May-24,367723
Apr-24,303776
Mar-24,369898
Feb-24,359563
Jan-24,396260
Dec-23,422935
Nov-23,386262
Oct-23,384403
Sep-23,346604
Aug-23,353059
Jul-23,349292
Jun-23,327872
May-23,366774
Apr-23,375843
Mar-23,366552
Feb-23,326275
Jan-23,337155
Dec-22,339960
Nov-22,302608
Oct-22,309823
Sep-22,295379
Aug-22,300215
Jul-22,300415
Jun-22,300659
May-22,351448
Apr-22,330463
Mar-22,364116
Feb-22,316766
Jan-22,353791
Dec-21,345363
Nov-21,306397
Oct-21,298119
Sep-21,284813
Aug-21,298262
Jul-21,300143
Jun-21,271368
May-21,314922
Apr-21,306818
Mar-21,321023
Feb-21,208394
Jan-21,305196
Dec-20,304263
Nov-20,280682
Oct-20,222963
Sep-20,151128
Aug-20,112462
Jul-20,96200
Jun-20,109002
May-20,182438
Apr-20,210466
Mar-20,244269
Feb-20,225786
Jan-20,250305
Dec-19,220646
Nov-19,190610
Oct-19,177966
Sep-19,160274
Aug-19,138578
Jul-19,156865
Jun-19,141956
May-19,144913
Apr-19,127102
Mar-19,130814
Feb-19,102866
Jan-19,126957
Dec-18,122795
Nov-18,107585
Oct-18,89886
Sep-18,81381
Aug-18,91526
Jul-18,98240
Jun-18,73535
May-18,94797
Apr-18,85684
Mar-18,91542
Feb-18,73684
Jan-18,72463
Dec-17,82604
Nov-17,80100
Oct-17,80195
Sep-17,54733
Aug-17,45468
Jul-17,53592
Jun-17,52462
May-17,60782
Apr-17,50669
Mar-17,43553
Feb-17,52042
Jan-17,51342
Dec-16,41825
Nov-16,32976
Oct-16,3000
Sep-16,16764
Aug-16,26768
Jul-16,15739
Jun-16,16445
May-16,9874
Apr-16,10036
Mar-16,10078
Feb-16,3309
Jan-16,26
Dec-15,3172
Nov-15,2969
Oct-15,2769
Sep-15,2767
Aug-15,2763
Jul-15,2771
Jun-15,2774
May-15,2769
Apr-15,24
Mar-15,23
Feb-15,2748
Jan-15,2832
Dec-14,28
Nov-14,27
Oct-14,2904
Sep-14,2904
Aug-14,2863
Jul-14,2827
Jun-14,17
May-14,1907
Apr-14,25
Mar-14,28
Feb-14,2694
Jan-14,29
Dec-13,26
Nov-13,2747
Oct-13,16
Sep-13,12
Aug-13,9
Jul-13,8
Jun-13,12
May-13,15
Apr-13,21
Mar-13,23
Feb-13,22
Jan-13,13
Dec-12,5520
Nov-12,7
Oct-12,4371
Sep-12,12
Aug-12,2455
Jul-12,12
Jun-12,2399
May-12,2811
Apr-12,18
Mar-12,2615
Feb-12,1880
Jan-12,6199
Dec-11,5215
Nov-11,4869
Oct-11,2870
Sep-11,9965
Aug-11,1926
Jul-11,2593
Jun-11,1929
May-11,8442
Apr-11,7743
Mar-11,5013
Feb-11,5049
Jan-11,14388
Dec-10,15111
Nov-10,9567
Oct-10,7906
Sep-10,6664
Aug-10,1928
Jul-10,3842
Jun-10,5031
May-10,1930
Apr-10,3852
Mar-10,1935
