"City,Date,MaxTemp_C,MinTemp_C,AvgTemp_C,Precip_mm,Condition"
"Houston,2025-05-20,33.0,24.5,27.4,0.16,Patchy rain nearby"
"Houston,2025-05-21,35.3,23.4,29.3,0.0,Sunny"
"Houston,2025-05-22,33.2,24.0,27.1,0.0,Sunny"
"Houston,2025-05-23,33.6,22.5,27.6,0.0,Sunny"
"Houston,2025-05-24,34.5,22.5,28.0,0.0,Sunny"
"Houston,2025-05-25,35.2,23.6,28.6,0.0,Sunny"
"Houston,2025-05-26,37.1,23.1,28.9,0.0,Sunny"
"Amsterdam,2025-05-20,19.4,9.7,14.6,0.0,Partly Cloudy "
"Amsterdam,2025-05-21,16.0,8.5,12.3,0.0,Sunny"
"Amsterdam,2025-05-22,15.2,7.9,10.9,0.06,Sunny"
"Amsterdam,2025-05-23,11.6,7.0,9.6,0.32,Patchy rain nearby"
"Amsterdam,2025-05-24,16.6,6.3,11.7,1.17,Patchy rain nearby"
"Amsterdam,2025-05-25,17.2,12.9,14.0,1.35,Patchy rain nearby"
"Amsterdam,2025-05-26,16.0,12.3,13.6,1.52,Patchy rain nearby"
"Wilhelmshaven,2025-05-20,18.4,8.6,13.3,0.0,Sunny"
"Wilhelmshaven,2025-05-21,16.1,6.8,11.6,0.01,Sunny"
"Wilhelmshaven,2025-05-22,11.8,7.6,9.5,1.01,Patchy rain nearby"
"Wilhelmshaven,2025-05-23,12.0,5.4,9.0,0.21,Patchy rain nearby"
"Wilhelmshaven,2025-05-24,16.8,7.6,11.8,0.58,Patchy rain nearby"
"Wilhelmshaven,2025-05-25,14.8,10.0,12.8,1.91,Patchy rain nearby"
"Wilhelmshaven,2025-05-26,14.8,11.1,12.7,1.11,Patchy rain nearby"
"Dunkirk,2025-05-20,12.9,12.4,12.9,0.0,Sunny"
"Dunkirk,2025-05-21,12.5,11.4,11.9,0.0,Partly Cloudy "
"Dunkirk,2025-05-22,11.2,10.7,11.0,0.06,Patchy rain nearby"
"Dunkirk,2025-05-23,11.2,10.1,11.0,0.11,Patchy rain nearby"
"Dunkirk,2025-05-24,12.6,12.2,12.6,3.05,Patchy rain nearby"
"Dunkirk,2025-05-25,13.4,13.0,13.1,0.62,Patchy rain nearby"
"Dunkirk,2025-05-26,13.0,12.7,13.1,2.25,Patchy rain nearby"
"Barcelona,2025-05-20,20.8,17.7,19.1,0.43,Patchy rain nearby"
"Barcelona,2025-05-21,21.3,17.3,19.5,0.0,Sunny"
"Barcelona,2025-05-22,18.0,14.2,16.9,14.56,Moderate rain"
"Barcelona,2025-05-23,20.3,15.1,17.7,0.0,Sunny"
"Barcelona,2025-05-24,20.2,16.4,18.3,0.0,Sunny"
"Barcelona,2025-05-25,21.4,17.3,19.5,0.0,Sunny"
"Barcelona,2025-05-26,21.7,18.5,19.9,0.04,Partly Cloudy "
"Milford Haven,2025-05-20,15.3,10.5,12.9,0.35,Patchy rain nearby"
"Milford Haven,2025-05-21,15.3,10.4,12.6,2.89,Patchy rain nearby"
"Milford Haven,2025-05-22,14.8,9.3,11.9,0.09,Partly Cloudy "
"Milford Haven,2025-05-23,14.3,8.9,12.0,0.0,Sunny"
"Milford Haven,2025-05-24,14.9,12.5,13.7,3.94,Patchy rain nearby"
"Milford Haven,2025-05-25,13.4,11.4,12.5,1.27,Patchy rain nearby"
"Milford Haven,2025-05-26,14.4,11.7,12.9,1.91,Patchy rain nearby"
"Houston,2025-05-20,33.0,24.5,27.4,0.16,Patchy rain nearby"
"Houston,2025-05-21,35.3,23.4,29.3,0.0,Sunny"
"Houston,2025-05-22,33.2,24.0,27.1,0.0,Sunny"
"Houston,2025-05-23,33.6,22.5,27.6,0.0,Sunny"
"Houston,2025-05-24,34.5,22.5,28.0,0.0,Sunny"
"Houston,2025-05-25,35.2,23.6,28.6,0.0,Sunny"
"Houston,2025-05-26,37.1,23.1,28.9,0.0,Sunny"
"Sabine Pass,2025-05-20,27.7,24.0,25.5,0.0,Overcast "
"Sabine Pass,2025-05-21,33.0,22.5,27.5,0.25,Patchy rain nearby"
"Sabine Pass,2025-05-22,29.0,20.8,23.8,0.0,Sunny"
"Sabine Pass,2025-05-23,30.8,20.7,25.3,0.0,Sunny"
"Sabine Pass,2025-05-24,30.8,21.9,25.9,0.0,Sunny"
"Sabine Pass,2025-05-25,31.3,23.1,26.4,0.0,Sunny"
"Sabine Pass,2025-05-26,32.5,22.4,26.6,0.0,Sunny"
"Savannah,2025-05-20,36.2,24.5,29.8,0.0,Overcast "
"Savannah,2025-05-21,31.6,22.4,26.9,1.71,Patchy rain nearby"
"Savannah,2025-05-22,27.7,18.2,21.4,0.0,Cloudy "
"Savannah,2025-05-23,25.6,15.6,20.1,0.0,Sunny"
"Savannah,2025-05-24,27.9,16.4,21.8,0.0,Sunny"
"Savannah,2025-05-25,32.3,18.0,24.4,0.0,Partly Cloudy "
"Savannah,2025-05-26,34.4,20.9,26.5,0.39,Patchy rain nearby"
